Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,Daily_Return
2020-03-13,67.10294342041016,67.5736832780311,61.06302571813862,63.94538830639056,370732000,70.64275341033935,73.7333911895752,0.11980836497892788
2020-03-16,58.4703369140625,62.54280864814437,57.93683361708763,58.40756965352153,322423600,69.64406604766846,73.45612052917481,-0.1286472107827381
2020-03-17,61.041290283203125,62.1879532458274,57.55059398806874,59.74978006097213,324056000,68.84574527740479,73.2443334197998,0.04397021643503285
2020-03-18,59.547000885009766,60.35087498179023,57.24159672400037,57.8813182089224,300233600,67.91694450378418,72.99124526977539,-0.024479977262285124
2020-03-19,59.09075546264648,61.03646731467495,58.56691024737155,59.72081881991735,271857200,67.0054063796997,72.73582344055175,-0.007661937890782067
2020-03-20,55.33934020996094,60.79264444451166,55.03999854094989,59.67011594836406,401693200,65.99380474090576,72.38225364685059,-0.06348565394559813
2020-03-23,54.163700103759766,55.16069770044325,51.32479637531141,55.05930867623348,336752800,65.10290489196777,71.97415176391601,-0.021244201715103883
2020-03-24,59.59770202636719,59.79323828764549,56.56084531140466,57.05813597182242,287531200,64.60561447143554,71.67135803222656,0.10032553005421829
2020-03-25,59.26939010620117,62.34245572079971,58.97487753279941,60.53192941719469,303602000,64.0367467880249,71.33006416320801,-0.005508801665217944
2020-03-26,62.38833236694336,62.446266859922645,59.47217711965345,59.51080257065681,252087200,63.854729080200194,71.0717643737793,0.05262315429859399
2020-03-27,59.8052978515625,61.767905586340525,59.63872886548187,61.01472792774082,204216800,63.54549102783203,70.76825775146484,-0.04140252539831446
2020-03-30,61.512020111083984,61.68341820252802,60.20602640105231,60.529509863529455,167976400,63.01440296173096,70.48010124206543,0.028537977751696753
2020-03-31,61.386497497558594,63.36600556092488,60.833685075362965,61.70273919270683,197002000,62.59158420562744,70.17262397766113,-0.002040619269188526
2020-04-01,58.15652084350586,60.04188167908633,57.72682288768837,59.50596558883749,176218400,61.845285415649414,69.81095123291016,-0.05261705400574768
2020-04-02,59.12695693969727,59.18006600388776,57.18848714731951,58.01891576899804,165934000,61.26603755950928,69.46324394226075,0.01668662571481483
2020-04-03,58.2772216796875,59.31284110700112,57.68819653151743,58.61277240805976,129880000,60.6912561416626,69.0911727142334,-0.014371368052585654
2020-04-06,63.3611946105957,63.51568906281684,60.20122279835169,60.56815356854759,201820400,60.646596145629886,68.82521224975586,0.08723773687859615
2020-04-07,62.62730026245117,65.5893255452028,62.52349853876049,65.37205652922795,202887200,60.33385715484619,68.58965751647949,-0.011582710090219828
2020-04-08,64.230224609375,64.54404618126709,63.06183266990903,63.42634690897305,168895200,60.22088108062744,68.34406425476074,0.025594658243393464
2020-04-09,64.69373321533203,65.19585671097452,63.89952086210519,64.86513503536223,161834800,60.459387969970706,68.07571022033692,0.007216362838148527
2020-04-13,65.9635238647461,66.07215841536981,64.17230617831575,64.77098966919036,131022800,60.4024169921875,67.83501625061035,0.019627722598533293
2020-04-14,69.29488372802734,69.58457092501276,67.12225185179103,67.59299170512948,194994800,60.94364433288574,67.73011558532716,0.0505030609054784
