Date,Open,High,Low,Close,Volume
2025-01-01,250.16443329510037,252.13968528218567,248.24280005930197,250.99342830602245,80135
2025-01-02,250.15671866348313,254.32816254564543,246.75848225001778,250.7168997036801,45046
2025-01-03,252.75957038500476,256.35975306773514,250.92100734055617,252.0122767798815,57064
2025-01-04,255.66870675813098,258.8744449225575,250.30853057294638,255.05833649269752,79350
2025-01-05,254.5691281492867,258.0597719655864,250.63740307720894,254.59002974325085,55893
2025-01-06,254.23908321266128,256.95270542939926,253.6747008177912,254.1217558293525,71272
2025-01-07,258.55784635615566,259.81684165069044,255.19227758144262,257.28018146036726,77649
2025-01-08,258.2234795298373,260.5435308861927,253.82788799202646,258.8150509186731,74674
2025-01-09,258.4231995279732,259.33118811198034,253.15244203534613,257.8761021468032,23760
2025-01-10,258.75902958154126,263.5034750406433,256.4220220252919,258.96122223397515,31927
2025-01-11,257.81670564512297,260.9513458221808,254.74964869906944,258.0343868483502,96475
2025-01-12,258.20170419319686,260.20596127701504,256.2677576107493,257.1029273412097,71367
2025-01-13,258.41226823332977,260.72229725155046,252.63100875365686,257.58685188434174,22588
2025-01-14,254.5738010310268,259.3102177290859,252.60193288810893,253.76029139502614,62233
2025-01-15,251.6159345371544,252.3826915527348,245.59679685932446,250.3104557300001,54738
2025-01-16,249.2068845131509,252.13803367323487,245.93764742655628,249.18588067151813,43397
2025-01-17,247.8421714021443,250.37161479656663,244.121534456455,247.1602184308493,92189
2025-01-18,247.4784463394464,250.8459842732131,244.91500378436388,247.78871309603986,86367
2025-01-19,246.29683129748588,246.38738221659008,244.81931588640865,245.97266494499743,81260
2025-01-20,243.01791448795916,247.5086770870476,242.13527432793163,243.14805754232685,86619
2025-01-21,246.17635104516268,250.83694245758073,244.9769240348191,246.07935508016996,29816
2025-01-22,246.2229595046338,249.04862542257985,244.6956111684756,245.62780247919687,52240
2025-01-23,244.94463820533926,249.2461130079572,241.0467158375055,245.76285888857274,16276
2025-01-24,245.00574979183128,249.61824669771775,241.16273622031215,242.9133625161458,89530
2025-01-25,240.81857968559575,245.36079023866245,240.52936630277878,241.82459706709545,33499
2025-01-26,240.83225363372745,242.80913746108646,235.9867404830234,242.04644224651517,98576
2025-01-27,240.90256596517065,243.78400776600472,235.32552566685345,239.74445509167057,92495
2025-01-28,241.28751382232485,244.32108905423914,235.85708971238586,240.49585112836192,81635
2025-01-29,239.91869356557646,242.03934692208838,234.32003463529213,239.2945737485243,95112
2025-01-30,239.33953175820204,243.02175293632567,237.84171000284033,238.71118624893776,45946
2025-01-31,237.49552625163204,242.17960809832402,235.51431615711874,237.50777302447895,65204
2025-02-01,240.315075022011,245.84017195803074,236.52388264349054,241.21232939349684,61886
2025-02-02,241.26113950221472,243.5153363592354,237.70523185375203,241.18533494402098,81652
2025-02-03,238.39275137459708,239.63610331531297,237.6232718428978,239.06991308610918,25563
2025-02-04,241.6901226437333,246.61432863854498,236.63583728536247,240.71500291031555,19847
2025-02-05,238.12625822887136,242.46780604260317,237.00405536968807,238.27331561037352,36155
2025-02-06,237.86554560359048,239.31435620639934,236.74645752947737,238.691042800383,89671
2025-02-07,234.45031671097047,239.37591196571032,231.76544459650341,234.77170255262345,93310
2025-02-08,232.52826190910224,236.87774371941288,229.15063078061812,232.11533045482662,77278
2025-02-09,231.9453283737609,235.10324321219522,229.04489733457186,232.50905292656486,28309
2025-02-10,233.16376569098924,236.9423632652803,232.70633150400047,233.98598608655567,10619
2025-02-11,234.5724098604275,236.56742337977818,229.9414183357837,234.3287226489356,93194
2025-02-12,234.34239265526787,234.61620084937803,232.76942587121562,234.09742608415914,60108
2025-02-13,232.98827551760942,235.17120490121007,232.3407009111954,233.49521869298056,44707
2025-02-14,230.06713640662738,234.55244195523576,225.6233960072825,230.5381747122457,30337
